PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
1630173,Precious,Achiuwa,Precious Achiuwa,"Achiuwa, Precious",P. Achiuwa,precious-achiuwa,1999-09-19T00:00:00,Memphis,Nigeria,Memphis/Nigeria,6-8,243,4,5,Forward,Active,Y,1610612752,Knicks,NYK,knicks,New York,precious_achiuwa,2020,2024,N,Y,Y,2020,1,20,N
203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,steven-adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-11,265,10,12,Center,Active,Y,1610612745,Rockets,HOU,rockets,Houston,steven_adams,2013,2024,N,Y,Y,2013,1,12,N
1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255,7,13,Center-Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2024,N,Y,Y,2017,1,14,N
1630534,Ochai,Agbaji,Ochai Agbaji,"Agbaji, Ochai",O. Agbaji,ochai-agbaji,2000-04-20T00:00:00,Kansas,USA,Kansas/USA,6-5,215,2,30,Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,ochai_agbaji,2022,2024,Y,Y,Y,2022,1,14,N
1630583,Santi,Aldama,Santi Aldama,"Aldama, Santi",S. Aldama,santi-aldama,2001-01-10T00:00:00,Loyola-Maryland,Spain,Loyola-Maryland/Spain,7-0,215,3,7,Forward-Center,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,santi_aldama,2021,2024,Y,Y,Y,2021,1,30,N
1641725,Trey,Alexander,Trey Alexander,"Alexander, Trey",T. Alexander,trey-alexander,2003-05-02T00:00:00,Creighton,USA,Creighton/USA,6-4,185,0,23,Guard,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,trey_alexander,2024,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,1998-09-02T00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,6-5,205,5,9,Guard,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,nickeil_alexander-walker,2019,2024,Y,Y,Y,2019,1,17,N
1628960,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,grayson-allen,1995-10-08T00:00:00,Duke,USA,Duke/USA,6-4,198,6,8,Guard,Active,Y,1610612756,Suns,PHX,suns,Phoenix,grayson_allen,2018,2024,Y,Y,Y,2018,1,21,N
1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,jarrett-allen,1998-04-21T00:00:00,Texas,USA,Texas/USA,6-9,243,7,31,Center,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jarrett_allen,2017,2024,N,Y,Y,2017,1,22,N
1630631,Jose,Alvarado,Jose Alvarado,"Alvarado, Jose",J. Alvarado,jose-alvarado,1998-04-12T00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-0,179,3,15,Guard,Active,Y,1610612740,Pelicans,NOP,pelicans,New Orleans,jose_alvarado,2021,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
203937,Kyle,Anderson,Kyle Anderson,"Anderson, Kyle",K. Anderson,kyle-anderson,1993-09-20T00:00:00,UCLA,USA,UCLA/USA,6-9,230,10,1,Forward-Guard,Active,Y,1610612744,Warriors,GSW,warriors,Golden State,kyle_anderson,2014,2024,Y,Y,Y,2014,1,30,N
203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,"Antetokounmpo, Giannis",G. Antetokounmpo,giannis-antetokounmpo,1994-12-06T00:00:00,Filathlitikos,Greece,Filathlitikos/Greece,6-11,243,11,34,Forward,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,giannis_antetokounmpo,2013,2024,N,Y,Y,2013,1,15,Y
1630175,Cole,Anthony,Cole Anthony,"Anthony, Cole",C. Anthony,cole-anthony,2000-05-15T00:00:00,North Carolina,USA,North Carolina/USA,6-2,185,4,50,Guard,Active,Y,1610612753,Magic,ORL,magic,Orlando,cole_anthony,2020,2024,N,Y,Y,2020,1,15,N
1628384,OG,Anunoby,OG Anunoby,"Anunoby, OG",O. Anunoby,og-anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,Indiana/United Kingdom,6-7,240,7,8,Forward-Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,og_anunoby,2017,2024,N,Y,Y,2017,1,23,N
1630166,Deni,Avdija,Deni Avdija,"Avdija, Deni",D. Avdija,deni-avdija,2001-01-03T00:00:00,Maccabi Tel Aviv,Israel,Maccabi Tel Aviv/Israel,6-9,240,4,8,Forward,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,deni_avdija,2020,2024,N,Y,Y,2020,1,9,N
1629028,Deandre,Ayton,Deandre Ayton,"Ayton, Deandre",D. Ayton,deandre-ayton,1998-07-23T00:00:00,Arizona,Bahamas,Arizona/Bahamas,7-0,252,6,2,Center,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,deandre_ayton,2018,2024,N,Y,Y,2018,1,1,N
1628963,Marvin,Bagley III,Marvin Bagley III,"Bagley III, Marvin",M. Bagley III,marvin-bagley-iii,1999-03-14T00:00:00,Duke,USA,Duke/USA,6-10,235,6,35,Forward,Active,Y,1610612764,Wizards,WAS,wizards,Washington,marvin_bagley_iii,2018,2024,N,Y,Y,2018,1,2,N
1631116,Patrick,Baldwin Jr.,Patrick Baldwin Jr.,"Baldwin Jr., Patrick",P. Baldwin Jr.,patrick-baldwin-jr,2002-11-18T00:00:00,Wisconsin-Milwaukee,USA,Wisconsin-Milwaukee/USA,6-9,220,2,7,Forward,Active,Y,1610612764,Wizards,WAS,wizards,Washington,patrick_baldwin_jr,2022,2024,Y,Y,Y,2022,1,28,N
